Symbol,Type,Expiration,Short Put Strike,Long Put Strike,Short Call Strike,Long Call Strike,Credit,Max Loss,Return on Risk,Chain Probability of Success,MC Probability of Profit (No DTE),MC Probability of Profit (With DTE),MC Probability of Profit (Heston),Bayesian Probability,Pricing State (Put),Pricing State (Call),Average Probability
gtlb,bull_put,2024-05-31,53.0,51.0,,,0.39999999999999997,1.6,0.24999999999999997,0.6094608917533877,0.51171875,0.7236328125,0.5908203125,0.608908191688347,overpriced,,0.6087700166720867
gtlb,bull_put,2024-05-31,53.0,52.0,,,0.19999999999999996,0.8,0.24999999999999994,0.6094608917533877,0.525390625,0.7119140625,0.5478515625,0.598654285438347,overpriced,,0.5959526338595867
gtlb,bull_put,2024-05-31,53.0,50.0,,,0.44999999999999996,2.55,0.1764705882352941,0.6094608917533877,0.521484375,0.7109375,0.548828125,0.597677722938347,overpriced,,0.5947319307345867
gtlb,bull_put,2024-05-31,54.0,49.0,,,0.8500000000000001,4.15,0.20481927710843373,0.40205328198555085,0.4921875,0.2822265625,0.52734375,0.5877191013786123,overpriced,,0.47236922846965307
gtlb,bull_put,2024-05-31,54.0,50.0,,,0.9500000000000001,3.05,0.3114754098360656,0.40205328198555085,0.4853515625,0.2822265625,0.51953125,0.5874749607536123,overpriced,,0.46864608393840307
gtlb,bull_put,2024-05-31,54.0,52.0,,,0.7000000000000001,1.2999999999999998,0.5384615384615385,0.40205328198555085,0.4853515625,0.2890625,0.5146484375,0.5845452732536123,overpriced,,0.46840194331340307
gtlb,bull_put,2024-05-31,54.0,49.5,,,0.9500000000000001,3.55,0.26760563380281693,0.40205328198555085,0.4716796875,0.29296875,0.517578125,0.5877191013786123,overpriced,,0.46748641596965307
gtlb,bull_put,2024-05-31,54.0,53.0,,,0.3500000000000001,0.6499999999999999,0.5384615384615387,0.40205328198555085,0.4765625,0.2958984375,0.509765625,0.5838128513786123,overpriced,,0.46650985346965307
gtlb,bull_put,2024-05-31,54.0,51.0,,,0.9000000000000001,2.0999999999999996,0.4285714285714287,0.40205328198555085,0.4853515625,0.291015625,0.4990234375,0.05,overpriced,,0.33134765625
gtlb,bull_put,2024-05-31,55.0,52.0,,,1.4,1.6,0.8749999999999999,0.22190165231419368,0.4658203125,0.0712890625,0.494140625,0.05,overpriced,,0.2703125
